company_name,isin,aqr_id,gics_sector,country,region,program,objective,repeat,initial_status,climate_change,water,forests,other,e,s,g,interaction_type,outcome,sentiment,outcome_status,escalation_level,milestone_status,start_date,target_date,last_interaction_date,interaction_summary,outcome_date,next_action_date,engagement_id,interactions,theme,created_date,created_by,days_to_next_action,is_complete,on_time,late,overdue,urgent
Advanced Inc,ISIN1009,AQR9,Industrials,Colombia,South America,Direct,Emissions Transparency,FALSE,Started,Y,,Y,,TRUE,FALSE,FALSE,Call,Response Received,Neutral,In Progress,Chase,Red,05/03/2025,31/12/2025,26/06/2025,We met them again. there is no progress.,09/06/2025,07/10/2025,10,"[
  {
    ""interaction_id"": ""64f80046-8732-4c29-b182-c39be1c7297e"",
    ""interaction_type"": ""Meeting"",
    ""interaction_summary"": ""We met the company. it was ok"",
    ""interaction_date"": ""2025-06-26"",
    ""outcome_status"": ""No Progress"",
    ""milestone"": ""Initiated"",
    ""milestone_status"": ""Green"",
    ""escalation_level"": ""None Required"",
    ""logged_by"": ""System"",
    ""logged_date"": ""2025-06-26""
  },
  {
    ""interaction_id"": ""3558c2a3-8605-4d3d-a232-f6b37e237d2e"",
    ""interaction_type"": ""Call"",
    ""interaction_summary"": ""We met them again. there is no progress."",
    ""interaction_date"": ""2025-06-26"",
    ""outcome_status"": ""No Progress"",
    ""milestone"": ""Constructive Response"",
    ""milestone_status"": ""Green"",
    ""escalation_level"": ""None Required"",
    ""logged_by"": ""System"",
    ""logged_date"": ""2025-06-26""
  }
]","Climate, Forests",,,81,TRUE,TRUE,FALSE,FALSE,FALSE
Global Tech Inc.,ISIN1010,AQR10,Information Technology,USA,North America,CDP,CDP Disclosure,FALSE,Started,Y,,,,TRUE,FALSE,FALSE,Email,No Response,No Response,In Progress,Chase,Red,,31/12/2025,,,03/06/2025,,11,[],Climate,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Euro-Bank Corp,ISIN1011,AQR11,Financials,Poland,Europe,Direct,Emissions Transparency,TRUE,Started,Y,,Y,,FALSE,TRUE,TRUE,Meeting,No Response,No Response,In Progress,Chase,Red,02/10/2025,31/12/2025,,,08/05/2025,,12,[],"Climate, Forests",,,,FALSE,FALSE,FALSE,FALSE,FALSE
India Industrial,ISIN1019,AQR19,Industrials,India,Asia,CDP,Emissions Transparency,TRUE,Started,Y,,,Y,TRUE,FALSE,TRUE,Email,No Response,No Response,In Progress,Chase,Red,06/01/2025,31/12/2025,,,24/06/2025,,20,[],"Climate, Other",,,,FALSE,FALSE,FALSE,FALSE,FALSE
Infosys,ISIN1007,AQR7,Information Technology,India,Asia,Other,Other,FALSE,Started,,,,Y,FALSE,TRUE,FALSE,Email,Email Failed,No Response,In Progress,Failed Email,Red,,31/12/2025,,,04/06/2025,,8,[],Other,,,,FALSE,FALSE,FALSE,FALSE,FALSE
ExRon,ISIN1000,AQR0,Energy,USA,North America,CDP,CDP Disclosure,FALSE,Started,Y,,,,TRUE,FALSE,FALSE,Email,No Response,No Response,In Progress,None Required,Amber,,31/12/2025,,,,,1,[],Climate,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Ditch Bank,ISIN1001,AQR1,Financials,Germany,Europe,CDP,CDP Disclosure,FALSE,Started,Y,Y,,,TRUE,FALSE,FALSE,Call,Response Received,Positive,In Progress,None Required,Green,01/02/2025,31/12/2025,26/06/2025,Testing,08/06/2025,07/10/2025,2,"[
  {
    ""interaction_id"": ""7f400336-f9d2-41e6-aabb-6b9e6db79ac2"",
    ""interaction_type"": ""Call"",
    ""interaction_summary"": ""Testing. Kian is ainm dom"",
    ""interaction_date"": ""2025-06-26"",
    ""outcome_status"": ""Partial"",
    ""milestone"": ""Aspiration"",
    ""milestone_status"": ""Green"",
    ""escalation_level"": ""None Required"",
    ""logged_by"": ""System"",
    ""logged_date"": ""2025-06-26""
  }
]","Climate, Water",,,81,TRUE,TRUE,FALSE,FALSE,FALSE
Mitsi,ISIN1002,AQR2,Industrials,Japan,Asia,CDP,Follow Up,FALSE,Started,Y,,,,TRUE,FALSE,FALSE,Email,Follow Up - First,Improving,In Progress,None Required,Amber,,31/12/2025,23/06/2025,Testing,02/06/2025,,3,[],Climate,,,,FALSE,FALSE,FALSE,FALSE,FALSE
National Gid,ISIN1003,AQR3,Utilities,UK,Europe,CDP,Verify Disclosure,FALSE,Started,,Y,,,TRUE,FALSE,FALSE,Meeting,Follow Up - First,Commited,Success,None Required,Green,,31/12/2025,10/07/2025,Testing,13/05/2025,,4,[],Water,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Sante Pour Tous,ISIN1004,AQR4,Health Care,France,Europe,CDP,Follow Up,FALSE,Started,,Y,,,TRUE,FALSE,FALSE,Call,Response Received,Commited,Success,None Required,Green,,31/12/2025,11/07/2025,Testing,01/04/2025,,5,[],Water,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Poutine Industries,ISIN1005,AQR5,Materials,Canada,North America,CDP,CDP Disclosure,FALSE,Not Started,Y,,,,TRUE,FALSE,FALSE,Call,In Progress,,In Progress,None Required,Amber,05/02/2025,31/12/2025,,,15/06/2025,,6,[],Climate,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Boomerang Services,ISIN1006,AQR6,Consumer Staples,Australia,Oceania,CDP,CDP Disclosure,FALSE,Not Started,,,Y,,TRUE,FALSE,FALSE,Call,In Progress,,In Progress,None Required,Amber,,31/12/2025,,,13/06/2025,,7,[],Forests,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Aussie Mining Co.,ISIN1013,AQR13,Materials,Australia,Oceania,Direct,Emissions Transparency,FALSE,Started,,Y,,,TRUE,TRUE,FALSE,Call,Follow Up - Second,Improving,In Progress,None Required,Amber,03/12/2025,31/12/2025,01/07/2025,Positive discussion,16/06/2025,,14,[],Water,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Pharma-Good,ISIN1014,AQR14,Health Care,Switzerland,Europe,Other,CDP Disclosure,TRUE,Started,,,,Y,FALSE,TRUE,TRUE,Email,Response Received,Positive,In Progress,None Required,Green,04/01/2025,31/12/2025,03/07/2025,Acknowledged,29/05/2025,,15,[],Other,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Utilities Trust,ISIN1017,AQR17,Utilities,Ireland,Europe,CDP,Verify Disclosure,FALSE,Started,Y,Y,,,TRUE,TRUE,FALSE,Meeting,Engagement Complete,Commited,Success,None Required,Green,,31/12/2025,30/06/2025,Confirmed at AGM,,,18,[],"Climate, Water",,,,TRUE,TRUE,FALSE,FALSE,FALSE
African CommTel,ISIN1018,AQR18,Communication Services,Nigeria,Africa,Other,Verify Disclosure,FALSE,Started,,Y,,Y,FALSE,TRUE,FALSE,Email,Engagement Complete,Commited,Partial,None Required,Green,,31/12/2025,14/06/2025,Acknowledged but no commitment,30/05/2025,,19,[],"Water, Other",,,,TRUE,TRUE,FALSE,FALSE,FALSE
Apple,ISIN1222,aqr20,Communication Services,USA,North America,CDP,Verify Disclosure,TRUE,Started,Y,Y,Y,Y,TRUE,TRUE,TRUE,Email,In Progress,Commited,Success,None Required,Green,,31/12/2025,05/07/2025,Testing 1 2 3,,,21,"[
  {
    ""interaction_id"": ""4dad1631-3895-4568-b6b6-de56de1288a9"",
    ""interaction_type"": ""Email"",
    ""interaction_summary"": ""Talked about an  i phones i broke"",
    ""interaction_date"": ""2025-06-26"",
    ""outcome_status"": ""No Progress"",
    ""milestone"": ""Constructive Response"",
    ""milestone_status"": ""Amber"",
    ""escalation_level"": ""None Required"",
    ""logged_by"": ""System"",
    ""logged_date"": ""2025-06-26""
  }
]","Climate, Water, Forests, Other",,System,,FALSE,FALSE,FALSE,FALSE,FALSE
Imirt Pele,ISIN1008,AQR8,Consumer Discretionary,Brazil,South America,Direct,Other,TRUE,Started,,,,Y,FALSE,TRUE,TRUE,Email,Response Received,Neutral,In Progress,Reminder,Amber,,31/12/2025,02/07/2025,Sent Email,31/05/2025,,9,[],Other,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Rising Sun Motors,ISIN1012,AQR12,Consumer Discretionary,South Korea,Asia,CDP,CDP Disclosure,FALSE,Started,Y,Y,,,TRUE,FALSE,FALSE,Email,Email Failed,No Response,Escalation Required,Senior Appeal (from AQR),Red,03/01/2025,31/12/2025,,,25/05/2025,,13,[],"Climate, Water",,,,FALSE,FALSE,FALSE,FALSE,FALSE
Canuck Retail,ISIN1015,AQR15,Consumer Staples,Thailand,Asia,CDP,CDP Disclosure,FALSE,Not Started,,,Y,,TRUE,FALSE,FALSE,Letter,Email Failed,No Response,Escalation Required,Senior Appeal (from Company),Red,07/06/2025,31/12/2025,,,,,16,[],Forests,,,,FALSE,FALSE,FALSE,FALSE,FALSE
China Energy,ISIN1016,AQR16,Energy,China,Asia,Direct,CDP Disclosure,FALSE,Started,Y,Y,,,TRUE,FALSE,FALSE,Meeting,No Response,No Response,Escalation Required,Senior Appeal (to Company),Red,05/02/2025,31/12/2025,,,16/06/2025,,17,[],"Climate, Water",,,,FALSE,FALSE,FALSE,FALSE,FALSE
